date,volume_offeredcapacity_others
2023-04-13 15:00:00,0.0665
2023-04-13 16:00:00,0.0289
2023-04-13 17:00:00,0.0477
2023-04-13 18:00:00,-1.4807
2023-04-13 19:00:00,0.1892
2023-04-13 20:00:00,0.0454
2023-04-13 21:00:00,0.0193
2023-04-13 22:00:00,0.0155
2023-04-13 23:00:00,0.1048
2023-04-14 00:00:00,0.0060
2023-04-14 01:00:00,0
2023-04-14 02:00:00,0
2023-04-14 03:00:00,0.0004
2023-04-14 04:00:00,0.0017
2023-04-14 05:00:00,0.0007
2023-04-14 06:00:00,0.2612
2023-04-14 07:00:00,0.4542
2023-04-14 08:00:00,0.0141
2023-04-14 09:00:00,0.0098
2023-04-14 10:00:00,0.0309
2023-04-14 11:00:00,0.0507
2023-04-14 12:00:00,0.0711
2023-04-14 13:00:00,-0.0071
2023-04-14 14:00:00,0.0014
2023-04-14 15:00:00,0
2023-04-14 16:00:00,0
2023-04-14 17:00:00,0.1956
2023-04-14 18:00:00,-0.7346
2023-04-14 19:00:00,0.0192
2023-04-14 20:00:00,-0.0009
2023-04-14 21:00:00,0.0654
2023-04-14 22:00:00,0.0485
2023-04-14 23:00:00,0.1039
2023-04-15 00:00:00,0.0009
2023-04-15 01:00:00,0
2023-04-15 02:00:00,0
2023-04-15 03:00:00,0.0002
2023-04-15 04:00:00,0
2023-04-15 05:00:00,-0.0314
2023-04-15 06:00:00,0.0724
2023-04-15 07:00:00,0.2575
2023-04-15 08:00:00,0.0051
2023-04-15 09:00:00,0.0306
2023-04-15 10:00:00,0.0608
2023-04-15 11:00:00,0.0060
2023-04-15 12:00:00,0.0016
2023-04-15 13:00:00,-0.0120
2023-04-15 14:00:00,0.0265
2023-04-15 15:00:00,0.0363
2023-04-15 16:00:00,0.0603
2023-04-15 17:00:00,0.1637
2023-04-15 18:00:00,-0.4772
2023-04-15 19:00:00,0.2158
2023-04-15 20:00:00,-0.0011
2023-04-15 21:00:00,0.0020
2023-04-15 22:00:00,-0.0334
2023-04-15 23:00:00,-0.3662
2023-04-16 00:00:00,-0.1275
2023-04-16 01:00:00,0.0001
2023-04-16 02:00:00,0.0002
2023-04-16 03:00:00,0
2023-04-16 04:00:00,0.0002
2023-04-16 05:00:00,-0.0342
2023-04-16 06:00:00,0.0575
2023-04-16 07:00:00,0.4289
2023-04-16 08:00:00,0.0295
2023-04-16 09:00:00,0.3999
2023-04-16 10:00:00,0.0957
2023-04-16 11:00:00,0.0054
2023-04-16 12:00:00,0.0027
2023-04-16 13:00:00,-0.0017
2023-04-16 14:00:00,0.0210
2023-04-16 15:00:00,0.3775
2023-04-16 16:00:00,0.0298
2023-04-16 17:00:00,0.2065
2023-04-16 18:00:00,0.2459
2023-04-16 19:00:00,-0.0339
2023-04-16 20:00:00,-0.0252
2023-04-16 21:00:00,0.0037
2023-04-16 22:00:00,0.0647
2023-04-16 23:00:00,0.1117
2023-04-17 00:00:00,0.0011
2023-04-17 01:00:00,0.0003
2023-04-17 02:00:00,0.0002
2023-04-17 03:00:00,0.0004
2023-04-17 04:00:00,0.0008
2023-04-17 05:00:00,-0.0339
2023-04-17 06:00:00,0.2041
2023-04-17 07:00:00,0.3856
2023-04-17 08:00:00,0.0343
2023-04-17 09:00:00,0.0455
2023-04-17 10:00:00,0.0062
2023-04-17 11:00:00,0.0324
2023-04-17 12:00:00,0.0006
2023-04-17 13:00:00,-0.0026
2023-04-17 14:00:00,0
2023-04-17 15:00:00,0.0106
2023-04-17 16:00:00,0.0368
2023-04-17 17:00:00,0.0794
2023-04-17 18:00:00,-1.9814
2023-04-17 19:00:00,0.0618
2023-04-17 20:00:00,-0.0237
2023-04-17 21:00:00,0.0923
2023-04-17 22:00:00,0.0723
2023-04-17 23:00:00,0.0003
2023-04-18 00:00:00,0.0072
2023-04-18 01:00:00,0.0010
2023-04-18 02:00:00,0.0026
2023-04-18 03:00:00,0.0251
2023-04-18 04:00:00,0.0018
2023-04-18 05:00:00,0.0387
2023-04-18 06:00:00,0.2704
2023-04-18 07:00:00,0.3545
2023-04-18 08:00:00,0.0309
2023-04-18 09:00:00,0.0181
2023-04-18 10:00:00,-0.0032
2023-04-18 11:00:00,-0.0055
2023-04-18 12:00:00,0.0146
2023-04-18 13:00:00,-0.0168
2023-04-18 14:00:00,0.0914
2023-04-18 15:00:00,0.1108
2023-04-18 16:00:00,0.3239
2023-04-18 17:00:00,0.8657
2023-04-18 18:00:00,-0.9406
2023-04-18 19:00:00,0.3899
2023-04-18 20:00:00,0.0913
2023-04-18 21:00:00,0.0202
2023-04-18 22:00:00,0.0196
2023-04-18 23:00:00,0.0015
2023-04-19 00:00:00,0.0130
2023-04-19 01:00:00,0.0052
2023-04-19 02:00:00,0
2023-04-19 03:00:00,0.0007
2023-04-19 04:00:00,0.0388
2023-04-19 05:00:00,-0.0114
2023-04-19 06:00:00,-0.2325
2023-04-19 07:00:00,-1.2439
2023-04-19 08:00:00,0.0863
2023-04-19 09:00:00,0.0155
2023-04-19 10:00:00,0.5290
2023-04-19 11:00:00,0.6366
2023-04-19 12:00:00,0.5831
2023-04-19 13:00:00,0.4413
2023-04-19 14:00:00,0.5826
2023-04-19 15:00:00,0.5910
2023-04-19 16:00:00,0.0137
2023-04-19 17:00:00,-1.3402
2023-04-19 18:00:00,-4.1472
2023-04-19 19:00:00,0.3860
2023-04-19 20:00:00,0.0282
2023-04-19 21:00:00,0.0841
2023-04-19 22:00:00,0
2023-04-19 23:00:00,0
2023-04-20 00:00:00,0
2023-04-20 01:00:00,0
2023-04-20 02:00:00,0
2023-04-20 03:00:00,0
2023-04-20 04:00:00,0
2023-04-20 05:00:00,0
2023-04-20 06:00:00,0.4728
2023-04-20 07:00:00,0.2612
2023-04-20 08:00:00,-0.4358
2023-04-20 09:00:00,-0.5505
2023-04-20 10:00:00,-0.2663
2023-04-20 11:00:00,0.0101
2023-04-20 12:00:00,-0.7857
2023-04-20 13:00:00,-1.2049
2023-04-20 14:00:00,-0.6635
2023-04-20 15:00:00,-1.5303
2023-04-20 16:00:00,-0.0684
2023-04-20 17:00:00,0.0517
2023-04-20 18:00:00,-2.9819
2023-04-20 19:00:00,0.4215
2023-04-20 20:00:00,0
2023-04-20 21:00:00,0
2023-04-20 22:00:00,0
2023-04-20 23:00:00,0
2023-04-21 00:00:00,0
2023-04-21 01:00:00,0
2023-04-21 02:00:00,0
2023-04-21 03:00:00,0
2023-04-21 04:00:00,0
2023-04-21 05:00:00,0
2023-04-21 06:00:00,0.5022
2023-04-21 07:00:00,0.2737
2023-04-21 08:00:00,-0.6397
2023-04-21 09:00:00,-0.7833
2023-04-21 10:00:00,0
2023-04-21 11:00:00,-0.7733
2023-04-21 12:00:00,-1.1105
2023-04-21 13:00:00,-0.6918
2023-04-21 14:00:00,-0.1603
2023-04-21 15:00:00,0.0009
2023-04-21 16:00:00,-0.0500
2023-04-21 17:00:00,0.2608
2023-04-21 18:00:00,-1.6281
2023-04-21 19:00:00,0.4453
2023-04-21 20:00:00,0
2023-04-21 21:00:00,0
2023-04-21 22:00:00,0
2023-04-21 23:00:00,0
2023-04-22 00:00:00,0
2023-04-22 01:00:00,0
2023-04-22 02:00:00,0
2023-04-22 03:00:00,0
2023-04-22 04:00:00,0
2023-04-22 05:00:00,0
